word	rank	corpus_count
ma	2	1864911
ei	3	1572717
sa	4	1222288
see	5	1195416
et	6	1068779
ja	7	982161
ta	8	902947
kui	9	660977
seda	10	535171
kas	11	521575
me	12	460751
mis	13	454197
pole	15	398110
jah	16	345483
aga	17	343293
oma	18	321369
siis	19	319250
nii	20	312112
ära	22	296064
siin	26	276902
kõik	27	273014
nad	28	267398
midagi	30	253294
te	32	228620
mulle	34	214018
kes	36	204974
nüüd	38	195294
kuidas	40	189290
ole	41	182169
ka	42	176480
mitte	43	172313
välja	44	170319
tema	45	169636
nagu	46	169138
mina	47	168083
miks	49	161009
veel	51	155813
või	52	150795
meie	53	149210
tagasi	54	148399
hea	56	141605
küll	57	139616
sina	58	136857
väga	59	136463
seal	62	125888
teie	63	124411
lihtsalt	64	122640
üks	65	120075
need	66	116061
kus	67	115378
oleks	68	111281
palju	69	106965
tead	72	104358
siia	73	103619
kuid	74	103426
hästi	75	101716
pärast	76	101541
palun	77	101194
eest	79	100430
meil	82	95796
tere	83	95353
juba	85	94668
olgu	87	93022
keegi	88	91572
isa	89	87931
ainult	90	85801
peale	91	84482
neid	94	82451
ju	96	80849
kunagi	98	79076
sest	99	78644
just	100	78030
tänan	101	76133
ema	103	73278
mees	104	72905
tee	106	71939
minema	109	71756
asi	110	70139
üle	111	69469
maha	112	69323
läbi	113	68572
vaja	114	67538
enam	116	67217
oh	117	66702
tõesti	120	66098
vaid	122	65723
kohe	123	65336
koos	125	65048
taha	128	63894
enne	129	63080
vastu	131	62180
hei	132	61362
olema	133	60768
aru	136	59606
täna	137	59409
jumal	139	58678
saan	140	58552
anna	141	58105
üles	142	57996
kaks	145	57750
korras	147	56211
sisse	148	55433
isegi	150	55058
ise	153	54477
elu	154	54198
end	155	53958
kogu	156	53668
ikka	157	53655
kinni	158	51611
vabandust	159	51248
muidugi	161	50904
jaoks	162	50776
pea	163	50614
valmis	164	50134
eks	167	49558
rohkem	168	49406
alati	169	49176
saad	172	48490
saada	173	48188
ning	175	47160
i	176	46877
raha	177	46869
lase	178	46650
siit	180	46345
kohta	181	46020
praegu	182	45898
liiga	183	45384
oota	186	44295
alla	188	43930
kurat	189	43894
juurde	190	43618
sinna	194	43063
tore	195	42976
lahti	196	42782
aeg	198	42383
kindel	199	42223
kuhu	201	41445
parem	204	41280
korda	205	41204
iga	206	40709
aitäh	207	40640
kuule	209	38913
õigus	212	38759
edasi	213	38512
kõige	214	38326
suur	215	38250
tegema	217	37904
ette	219	37749
ega	221	36999
nimi	224	36526
ühe	225	36465
kahju	227	36107
surnud	228	35942
tegelikult	229	35880
koju	230	35540
noh	234	34175
ilma	235	34015
räägi	238	33436
kuni	239	33186
kokku	241	33051
päris	243	32254
enda	244	32144
vist	246	31935
viga	250	31426
sama	252	31139
kaasa	253	31130
kord	256	30635
naine	258	30507
tähendab	261	30326
väike	262	30081
härra	263	30016
mingi	264	30009
sai	266	29547
kolm	267	29345
las	268	29345
äkki	272	28790
hr	273	28558
töö	275	28249
võib-olla	277	28063
poiss	278	27949
jälle	279	27897
kallis	280	27874
sõber	283	27513
all	285	27411
kaua	286	27377
õige	287	27314
terve	289	26965
kena	290	26948
kindlasti	293	26684
tuli	294	26644
natuke	295	26535
ehk	299	26133
kätte	301	26045
üldse	302	25936
selline	304	25838
ajal	306	25603
täpselt	307	25552
kedagi	309	25305
ärge	310	25283
kuradi	311	25236
hakkama	313	25078
tüdruk	316	24801
päev	317	24757
kust	319	24625
söör	320	24514
teine	321	24491
kuna	326	23664
okei	328	23516
vana	329	23435
juures	331	23260
tunne	333	23069
viis	335	22766
no	342	22274
ilmselt	343	22264
kuula	344	22256
kullake	346	21985
auto	347	21783
raske	348	21748
abi	349	21720
homme	354	21442
elus	355	21362
selge	356	21348
sellepärast	357	21284
hiljem	359	21225
alles	361	21092
milline	364	20925
poole	366	20896
järele	368	20835
varem	370	20640
osa	371	20557
uuesti	372	20371
suurepärane	374	20333
läinud	376	20269
